,SibSp,Parch,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,ageN,FareN
73,1,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.2513012874397499,-0.37993133746287294
74,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.1626935913929579,0.41422569996755254
75,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.32030043391186785,-0.5084612534052753
78,0,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.9880098041429592,-0.10516421549188508
79,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.024695298448721946,-0.4173180118159493
80,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5272978733282218,-0.48296003555126693
81,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.04430384802339602,-0.4735151400497824
83,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.11330299449551398,0.23674100166185552
84,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.8722936056888115,-0.4546253490468133
85,3,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.23169273786507583,-0.3535649671809286
86,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.9412927521609296,-0.003631588850926211
88,3,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.4582987268561038,4.315046879202883
89,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.3892995803839858,-0.5009053370040876
90,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.04430384802339602,-0.5009053370040876
91,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.6652961662724577,-0.5046039580824689
92,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.1286816420026093,0.5026148100286454
93,1,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.2513012874397499,-0.2643107046918997
94,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0256705461401427,-0.5160171698064628
96,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.8536603038055586,0.0016424407971028167
97,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.4582987268561038,0.5438568907254279
98,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3006918843371938,-0.21850296150969964
99,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3006918843371938,-0.16183358850079235
100,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.11330299449551398,-0.5038181427767454
102,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.5962970198003398,0.8069765675639848
103,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.23169273786507583,-0.48949212528009367
104,2,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5076893237535477,-0.5032665608794588
105,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.11330299449551398,-0.5038181427767454
106,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.5962970198003398,-0.5084612534052753
108,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5766884702256656,-0.5038181427767454
110,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.1976807884747274,0.32930097757640403
111,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0447914718691065,-0.37993133746287294
112,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5272978733282218,-0.5009053370040876
113,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.6652961662724577,-0.4673759579738175
114,0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.8722936056888115,-0.3798538893197607
115,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5962970198003398,-0.5032665608794588
116,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.8191607305694997,-0.5065722743049783
117,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.04430384802339602,-0.25628254351563784
118,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.3892995803839858,4.0226480263097235
119,4,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.907280802770581,-0.062189940960130426
120,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.5962970198003398,0.7354314841402395
122,1,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.19719316462901684,-0.08493702728590581
123,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.19719316462901684,-0.4074008715393906
124,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.680674813779553,0.8069765675639848
125,1,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.2172893380494014,-0.4406147910599111
127,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.3892995803839858,-0.5180629341720844
129,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0596824955304913,-0.5212118623322793
130,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.23169273786507583,-0.5038181427767454
131,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.6652961662724577,-0.5197951280070566
132,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.1976807884747274,-0.37906618503493694
133,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.04430384802339602,-0.16183358850079235
134,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.32030043391186785,-0.4074008715393906
135,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.4582987268561038,-0.3687561371055164
136,0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.7342953127445757,-0.1564821107096512
137,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5076893237535477,0.3500797476796701
138,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.9412927521609296,-0.47886661784092355
139,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.3892995803839858,0.8431032928571635
141,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.5272978733282218,-0.5065722743049783
142,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.3892995803839858,-0.3535649671809286
143,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.7342953127445757,-0.5254620653079474
144,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.8032944592166936,-0.43573555804384423
145,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7342953127445757,0.04123166478112539
146,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.18230214096763195,-0.5057071218770424
147,2,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.4242867774657553,-0.003631588850926211
148,0,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.47318975051748874,-0.16183358850079235
149,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8526850561141375,-0.4074008715393906
150,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.4736773743631992,-0.41637352226580093
151,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.5272978733282218,0.6050919262197527
152,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.78417353348773,-0.5009053370040876
153,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7491863364059606,-0.37906618503493694
155,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.4736773743631992,0.5064721053514517
156,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.9412927521609296,-0.5068877338147278
157,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.024695298448721946,-0.5009053370040876
160,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.9906833490583734,-0.34884251943018635
161,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7146867631699015,-0.35545394628122556
162,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.2513012874397499,-0.5061000295299041
163,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.8722936056888115,-0.48933534001476897
164,4,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.976279949242699,0.0967204258523471
165,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.4242867774657553,-0.2652551942420482
167,1,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0596824955304913,-0.1259429855951511
169,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.11330299449551398,0.41422569996755254
170,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.163668839084379,-0.020160155978524167
171,4,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.7692825098263452,-0.10280299161651395
172,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.976279949242699,-0.442662444404633
173,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5962970198003398,-0.5032665608794588
174,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.818673106723789,-0.07313090790905012
175,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.8032944592166936,-0.5046039580824689
177,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4046782278910812,-0.11059503040523873
178,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.024695298448721946,-0.4074008715393906
179,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.4386901772814297,-0.6529681545779887
182,4,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.4242867774657553,-0.06006483947229639
183,2,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.976279949242699,0.08373369453780584
184,0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.7692825098263452,-0.23692050773759454
187,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0596824955304913,-0.15144420344915935
188,1,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7146867631699015,-0.36017639403196783
189,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.4386901772814297,-0.5038181427767454
190,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1626935913929579,-0.4074008715393906
191,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7342953127445757,-0.4074008715393906
192,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.7342953127445757,-0.5046039580824689
193,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.8382816562984632,-0.16183358850079235
194,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9906833490583734,-0.12932803614288313
195,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.956671399668025,2.114779135009845
197,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.8526850561141375,-0.49421457303083594
199,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3892995803839858,-0.4074008715393906
200,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.11330299449551398,-0.4735151400497824
202,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3006918843371938,-0.5302638501809022
203,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0941820687665504,-0.5164894145815371
204,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.8032944592166936,-0.5009053370040876
205,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.907280802770581,-0.4553337162094247
206,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.1626935913929579,-0.3535649671809286
207,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.2513012874397499,-0.2980762061097069
208,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.9412927521609296,-0.5065722743049783
209,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7146867631699015,-0.0673846334859469
210,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.3892995803839858,-0.5197951280070566
211,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.36969103080931176,-0.25628254351563784
212,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5272978733282218,-0.5160171698064628
213,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.024695298448721946,-0.4074008715393906
215,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0936944449208399,1.4867729212833354
216,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.18230214096763195,-0.5032665608794588
217,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8526850561141375,-0.14294379749782327
218,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1626935913929579,0.7881661136832285
219,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.024695298448721946,-0.4546253490468133
220,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.9412927521609296,-0.5009053370040876
221,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.18230214096763195,-0.4074008715393906
222,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.4736773743631992,-0.5009053370040876
224,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5766884702256656,1.0471130356892295
225,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5272978733282218,-0.4763486087002277
226,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7342953127445757,-0.4546253490468133
227,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.6307965930363987,-0.5160171698064628
228,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.8032944592166936,-0.4074008715393906
230,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.36969103080931176,0.9238571493948562
231,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.04430384802339602,-0.5061000295299041
232,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0256705461401427,-0.397955976037906
233,4,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.7002833633542271,-0.06006483947229639
234,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3892995803839858,-0.4546253490468133
236,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9906833490583734,-0.16183358850079235
237,0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.4932859239378733,-0.1571111407500501
238,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7342953127445757,-0.4546253490468133
239,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.23169273786507583,-0.4210959700165432
242,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.04430384802339602,-0.4546253490468133
243,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5272978733282218,-0.518378393681834
244,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.024695298448721946,-0.5164894145815371
245,2,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9906833490583734,1.0471130356892295
246,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.32030043391186785,-0.5061000295299041
247,0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3892995803839858,-0.37906618503493694
248,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5076893237535477,0.33976969975024957
249,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.680674813779553,-0.16183358850079235
251,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.04430384802339602,-0.4553337162094247
252,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.232667985556497,-0.15144420344915935
253,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.024695298448721946,-0.34884251943018635
254,0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.7836859096420196,-0.271158253930476
255,0,2,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.04430384802339602,-0.3649781789049226
257,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.024695298448721946,0.9809987671788377
258,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.36969103080931176,9.024823358140363
259,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4046782278910812,-0.16183358850079235
261,4,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.8382816562984632,-0.06006483947229639
262,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5426765208353173,0.8516036988084996
263,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7146867631699015,-0.6529681545779887
265,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4386901772814297,-0.4546253490468133
266,4,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.9412927521609296,0.0967204258523471
267,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.32030043391186785,-0.5061000295299041
268,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.956671399668025,2.2459063972151556
269,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.36969103080931176,1.909116535465019
271,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.32030043391186785,-0.6529681545779887
272,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7836859096420196,-0.2846172300200915
273,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5076893237535477,-0.09194136178980673
275,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.301667132028615,0.8196478393687765
276,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0596824955304913,-0.5065722743049783
278,4,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.5622850704099913,-0.10280299161651395
279,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.36969103080931176,-0.27044988676786463
280,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.439665424972851,-0.5065722743049783
281,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.11330299449551398,-0.5046039580824689
282,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.9412927521609296,-0.4735151400497824
283,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.7342953127445757,-0.5009053370040876
285,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.23169273786507583,-0.48933534001476897
286,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.024695298448721946,-0.4735151400497824
287,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5272978733282218,-0.5038181427767454
288,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8526850561141375,-0.4074008715393906
289,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.5272978733282218,-0.5065722743049783
290,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.2513012874397499,0.8364918660061241
291,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.7342953127445757,1.0674988981396338
292,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4386901772814297,-0.4097620954147617
293,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.3892995803839858,-0.4857935042017123
294,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.3892995803839858,-0.5038181427767454
296,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.42379915362004483,-0.5164100774593247
297,1,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.907280802770581,2.2097796719219773
299,0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4046782278910812,4.0226480263097235
302,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.7342953127445757,-0.6529681545779887
